finding_id,repo_id,repository,commit_sha,domain,cohort,security_family,cwe_id,filename,statement_start,statement_end,line_number,scanner_count,scanners,rule_ids,raw_alert_count,raw_alert_ids,reported_lines,severity,confidence,messages,statement_code,annotator_1_label,annotator_2_label,adjudicated_label,rationale
FND-000267,R016,certbot/certbot,56ee04928d677d82c6a375a7c7b48e8ce13bb6bc,"HTTP, Networking & Cloud",Primary_Core_Benchmark,disabled-cert-validation,CWE-295,acme/src/acme/challenges.py,325,325,325,2,Bandit|Semgrep,B501|python.security.disabled-cert-validation,2,ALT-000459|ALT-000516,325,ERROR|HIGH,HIGH,"Call to requests with verify=False disabling SSL certificate checks, security issue. || TLS certificate verification is explicitly disabled.","            http_response = requests.get(uri, verify=False, timeout=timeout)",PENDING,PENDING,PENDING,PENDING
FND-000273,R016,certbot/certbot,56ee04928d677d82c6a375a7c7b48e8ce13bb6bc,"HTTP, Networking & Cloud",Primary_Core_Benchmark,disabled-cert-validation,CWE-295,certbot-ci/src/certbot_integration_tests/utils/misc.py,64,65,64,2,Bandit|Semgrep,B501|python.security.disabled-cert-validation,2,ALT-000465|ALT-000522,64,ERROR|HIGH,HIGH,"Call to requests with verify=False disabling SSL certificate checks, security issue. || TLS certificate verification is explicitly disabled.","            if requests.get(url, verify=False, timeout=10).status_code == 200:
                return",PENDING,PENDING,PENDING,PENDING
FND-000294,R016,certbot/certbot,56ee04928d677d82c6a375a7c7b48e8ce13bb6bc,"HTTP, Networking & Cloud",Primary_Core_Benchmark,weak-hash,CWE-327,certbot/src/certbot/_internal/account.py,75,75,75,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000486|ALT-000543,75,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"            hasher = hashlib.new('md5', **cast(Mapping[str, Any], {""usedforsecurity"": False}))",PENDING,PENDING,PENDING,PENDING
FND-000266,R015,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,"HTTP, Networking & Cloud",Primary_Core_Benchmark,weak-hash,CWE-327,httpx/_auth.py,309,309,309,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000457|ALT-000458,309,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,        return hashlib.sha1(s).hexdigest()[:16].encode(),PENDING,PENDING,PENDING,PENDING
FND-001048,R064,twisted/twisted,ac919a6d1b2f91b7dea806bacfae99abab5291d4,"HTTP, Networking & Cloud",Supplementary_Holdout_Pool,weak-hash,CWE-327,src/twisted/conch/ssh/transport.py,2028,2030,2028,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001823|ALT-001859,2029,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"        fingerprint = b"":"".join(
            [binascii.hexlify(c) for c in iterbytes(md5(pubKey).digest())]
        )",PENDING,PENDING,PENDING,PENDING
FND-000110,R003,django/django,9193cb54550727a02fd55dab1b430597a9aa4297,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,django/db/backends/sqlite3/_functions.py,414,414,414,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000114|ALT-000198,414,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,    return md5(text.encode()).hexdigest(),PENDING,PENDING,PENDING,PENDING
FND-001294,R095,boto/botocore,b4c8dd94e3e705217ee084e84dbb6aa747417c8b,"HTTP, Networking & Cloud",Supplementary_Holdout_Pool,weak-hash,CWE-327,botocore/httpchecksum.py,169,169,169,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-002248|ALT-002254,169,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,        self._checksum = sha1(),PENDING,PENDING,PENDING,PENDING
FND-000174,R011,paramiko/paramiko,142f593e40ad767c5e3556cbace66dc84589620c,"HTTP, Networking & Cloud",Primary_Core_Benchmark,weak-hash,CWE-327,paramiko/hostkeys.py,299,299,299,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000280|ALT-000285,299,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,        assert len(salt) == sha1().digest_size,PENDING,PENDING,PENDING,PENDING
FND-000618,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,weak-hash,CWE-327,extra/dbwire/firebird.py,171,171,171,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001063|ALT-001218,171,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,    h = hashlib.sha1(),PENDING,PENDING,PENDING,PENDING
FND-000727,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,weak-hash,CWE-327,lib/utils/hashdb.py,97,97,97,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001168|ALT-001275,97,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"        retVal = struct.unpack(""<Q"", hashlib.md5(key).digest()[:8])[0] & 0x7fffffffffffffff",PENDING,PENDING,PENDING,PENDING
