repo_id,original_repository,repaired_repository,domain,cohort,repair_action,repair_reason,remote_verified,remote_verification_error
R013,ansible/ansible,ansible/ansible,"HTTP, Networking & Cloud",Primary_Core_Benchmark,environment_fix,Repository exists. Previous checkout failed only because Windows long paths were disabled.,True,
R043,pyjwt/pyjwt,jpadilla/pyjwt,"Security, Cryptography & Auth",Primary_Core_Benchmark,repository_move,Original repository path no longer resolves. Current PyJWT repository is jpadilla/pyjwt.,True,
R044,google/google-auth-library-python,googleapis/google-auth-library-python,"Security, Cryptography & Auth",Primary_Core_Benchmark,repository_move_archived,Project repository moved from the old owner path. The current repository is archived but preserves the selected project source.,True,
R048,paramiko/ecdsa-python,tlsfuzzer/python-ecdsa,"Security, Cryptography & Auth",Primary_Core_Benchmark,repository_move,Original repository path no longer resolves. Current python-ecdsa repository is tlsfuzzer/python-ecdsa.,True,
R056,tornadoweb/pycurl,pycurl/pycurl,"HTTP, Networking & Cloud",Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current PycURL repository is pycurl/pycurl.,True,
R063,grpc/grpc-python,grpc/grpc,"HTTP, Networking & Cloud",Supplementary_Holdout_Pool,project_migration,The former grpc-python project is maintained in grpc/grpc. Only Python files are targeted by the scanner protocol.,True,
R065,trio-py/trio,python-trio/trio,"HTTP, Networking & Cloud",Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current Trio repository is python-trio/trio.,True,
R066,magicmonty/bashplotlib,glamp/bashplotlib,"CLI, Tooling & Systems",Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current bashplotlib repository is glamp/bashplotlib.,True,
R073,tox-dev/virtualenv-clone,edwardgeorge/virtualenv-clone,"CLI, Tooling & Systems",Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current virtualenv-clone repository is edwardgeorge/virtualenv-clone.,True,
R076,delorean-py/delorean,myusuf3/delorean,Data Validation & Serialization,Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current Delorean repository is myusuf3/delorean.,True,
R079,rsa/python-rsa,sybrenstuvel/python-rsa,"Security, Cryptography & Auth",Supplementary_Holdout_Pool,repository_move_archived,Original repository path no longer resolves. The historical repository is sybrenstuvel/python-rsa and is archived.,True,
R080,pyopenssl/pyopenssl,pyca/pyopenssl,"Security, Cryptography & Auth",Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current pyOpenSSL repository is pyca/pyopenssl.,True,
R081,google/jwt-verifier-python,mpdavis/python-jose,"Security, Cryptography & Auth",Supplementary_Holdout_Pool,same_domain_replacement,"Original google/jwt-verifier-python repository is unavailable. Replaced with a public Python JOSE/JWT implementation in the same Security, Cryptography & Auth domain.",True,
R082,django/django-cors-headers,adamchainz/django-cors-headers,Web Frameworks & APIs,Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current django-cors-headers repository is adamchainz/django-cors-headers.,True,
R086,pyyaml/pyyaml,python-attrs/cattrs,Data Validation & Serialization,Supplementary_Holdout_Pool,same_domain_replacement,The current PyYAML repository duplicates R027. Replaced with cattrs to preserve a unique Data Validation & Serialization holdout repository.,True,
R098,paramiko/invoke,pyinvoke/invoke,"CLI, Tooling & Systems",Supplementary_Holdout_Pool,repository_move,Original repository path no longer resolves. Current Invoke repository is pyinvoke/invoke.,True,
R100,tiran/pyreadline,pyreadline3/pyreadline3,"CLI, Tooling & Systems",Supplementary_Holdout_Pool,successor_replacement,Original pyreadline repository is unavailable. pyreadline3 is the maintained successor project.,True,
