annotation_row_id,finding_id,repository,filename,line_number,security_family,variant_a_lines,variant_b_lines,variant_c_lines,variant_b_fallback,variant_c_caller_count,variant_c_call_depth
GT-001,FND-000267,certbot/certbot,acme/src/acme/challenges.py,325,disabled-cert-validation,7,7,13,false,0,0
GT-002,FND-000273,certbot/certbot,certbot-ci/src/certbot_integration_tests/utils/misc.py,64,disabled-cert-validation,7,5,27,false,1,1
GT-003,FND-000294,certbot/certbot,certbot/src/certbot/_internal/account.py,75,weak-hash,7,4,10,false,0,0
GT-004,FND-000266,encode/httpx,httpx/_auth.py,309,weak-hash,7,3,53,false,7,3
GT-005,FND-001048,twisted/twisted,src/twisted/conch/ssh/transport.py,2028,weak-hash,7,5,11,false,0,0
GT-006,FND-000110,django/django,django/db/backends/sqlite3/_functions.py,414,weak-hash,7,2,7,false,0,0
GT-007,FND-001294,boto/botocore,botocore/httpchecksum.py,169,weak-hash,7,2,12,false,1,1
GT-008,FND-000174,paramiko/paramiko,paramiko/hostkeys.py,299,weak-hash,7,7,53,false,6,3
GT-009,FND-000618,sqlmapproject/sqlmap,extra/dbwire/firebird.py,171,weak-hash,7,2,70,false,8,3
GT-010,FND-000727,sqlmapproject/sqlmap,lib/utils/hashdb.py,97,weak-hash,7,3,21,false,2,1
GT-011,FND-000622,sqlmapproject/sqlmap,extra/dbwire/postgres.py,243,weak-hash,7,10,23,false,1,1
GT-012,FND-000710,sqlmapproject/sqlmap,lib/utils/hash.py,115,weak-hash,7,3,8,false,0,0
GT-013,FND-001055,twisted/twisted,src/twisted/mail/pop3.py,75,weak-hash,7,3,9,false,0,0
GT-014,FND-000720,sqlmapproject/sqlmap,lib/utils/hash.py,452,weak-hash,7,18,23,false,0,0
GT-015,FND-001110,hypothesisworks/hypothesis,hypothesis/src/hypothesis/extra/_patching.py,339,weak-hash,7,3,8,false,0,0
GT-016,FND-000167,cherrypy/cherrypy,cherrypy/lib/auth_digest.py,38,weak-hash,7,2,143,false,15,3
GT-017,FND-000168,cherrypy/cherrypy,cherrypy/lib/cptools.py,55,weak-hash,7,9,14,false,0,0
GT-018,FND-000722,sqlmapproject/sqlmap,lib/utils/hash.py,605,weak-hash,7,2,7,false,0,0
GT-019,FND-000942,pallets/jinja,src/jinja2/bccache.py,152,weak-hash,7,2,18,false,1,1
GT-020,FND-001173,lepture/authlib,authlib/oauth1/rfc5849/client_auth.py,150,weak-hash,7,11,79,false,5,2
GT-021,FND-000156,aio-libs/aiohttp,aiohttp/web_ws.py,329,weak-hash,7,8,33,false,4,3
GT-022,FND-001013,scrapy/scrapy,scrapy/pipelines/images.py,276,weak-hash,5,10,73,false,3,3
GT-023,FND-000036,pallets/flask,src/flask/sessions.py,281,weak-hash,7,2,7,false,0,0
GT-024,FND-000155,aio-libs/aiohttp,aiohttp/client_middleware_digest_auth.py,332,weak-hash,7,14,45,false,1,1
GT-025,FND-000172,paramiko/paramiko,paramiko/config.py,446,weak-hash,7,31,132,false,5,3
GT-026,FND-000152,tornadoweb/tornado,tornado/web.py,1757,weak-hash,7,2,133,false,13,3
GT-027,FND-000038,django/django,django/contrib/auth/hashers.py,665,weak-hash,7,2,94,false,12,3
GT-028,FND-000623,sqlmapproject/sqlmap,extra/dbwire/postgres.py,244,weak-hash,7,11,24,false,1,1
GT-029,FND-000931,numpy/numpy,numpy/lib/_npyio_impl.py,683,hardcoded-temp-path,7,71,77,false,0,0
GT-030,FND-000180,boto/boto3,boto3/s3/inject.py,279,hardcoded-temp-path,7,34,39,false,0,0
GT-031,FND-000037,django/django,django/conf/global_settings.py,334,hardcoded-temp-path,7,11,11,true,0,0
GT-032,FND-000807,Gallopsled/pwntools,pwnlib/tubes/ssh.py,1527,hardcoded-temp-path,7,22,114,false,7,2
GT-033,FND-000179,boto/boto3,boto3/s3/inject.py,235,hardcoded-temp-path,7,34,39,false,0,0
GT-034,FND-000574,celery/celery,t/unit/bin/proj/daemon_config.py,3,hardcoded-temp-path,6,8,8,true,0,0
GT-035,FND-000707,sqlmapproject/sqlmap,lib/techniques/ssti/inject.py,834,hardcoded-temp-path,7,11,11,true,0,0
GT-036,FND-000805,Gallopsled/pwntools,pwnlib/tubes/ssh.py,1146,hardcoded-temp-path,7,28,793,false,60,3
GT-037,FND-000818,Gallopsled/pwntools,pwnlib/util/packing.py,1118,hardcoded-temp-path,7,50,55,false,0,0
GT-038,FND-000264,fabric/fabric,fabric/transfer.py,44,hardcoded-temp-path,7,69,100,false,1,1
GT-039,FND-000796,Gallopsled/pwntools,pwnlib/elf/elf.py,1655,hardcoded-temp-path,7,10,64,false,6,3
GT-040,FND-000806,Gallopsled/pwntools,pwnlib/tubes/ssh.py,1502,hardcoded-temp-path,7,21,134,false,15,3
GT-041,FND-000248,ansible/ansible,lib/ansible/plugins/filter/core.py,551,hardcoded-temp-path,7,9,14,false,0,0
GT-042,FND-000058,django/django,django/core/cache/backends/db.py,102,unsafe-deserialization,7,37,104,false,6,3
GT-043,FND-000069,django/django,django/core/cache/backends/filebased.py,38,unsafe-deserialization,7,6,12,false,0,0
GT-044,FND-000879,scikit-learn/scikit-learn,sklearn/utils/estimator_checks.py,4080,unsafe-deserialization,7,3,9,false,0,0
GT-045,FND-001005,scrapy/scrapy,scrapy/extensions/httpcache.py,341,unsafe-deserialization,7,17,23,false,0,0
GT-046,FND-000928,numpy/numpy,numpy/lib/_format_impl.py,844,unsafe-deserialization,7,17,23,false,0,0
GT-047,FND-001008,scrapy/scrapy,scrapy/extensions/spiderstate.py,44,unsafe-deserialization,7,4,10,false,0,0
GT-048,FND-000585,celery/celery,t/unit/tasks/test_result.py,696,unsafe-deserialization,7,3,10,false,0,0
GT-049,FND-000070,django/django,django/core/cache/backends/filebased.py,71,unsafe-deserialization,7,16,22,false,0,0
GT-050,FND-000560,celery/celery,t/unit/app/test_app.py,1165,unsafe-deserialization,7,3,10,false,0,0
GT-051,FND-000566,celery/celery,t/unit/app/test_schedules.py,157,unsafe-deserialization,7,4,10,false,0,0
GT-052,FND-000568,celery/celery,t/unit/backends/test_database.py,651,unsafe-deserialization,7,3,10,false,0,0
GT-053,FND-001059,twisted/twisted,src/twisted/mail/relaymanager.py,572,unsafe-deserialization,7,4,16,false,1,1
GT-054,FND-001039,grpc/grpc,src/python/grpcio_tests/tests_aio/unit/auth_context_test.py,201,unsafe-deserialization,7,8,54,false,2,1
GT-055,FND-000072,django/django,django/core/cache/backends/locmem.py,43,unsafe-deserialization,7,5,55,false,6,2
GT-056,FND-000545,celery/celery,celery/backends/database/__init__.py,220,unsafe-deserialization,7,4,31,false,2,1
GT-057,FND-000596,celery/celery,t/unit/utils/test_pickle.py,25,unsafe-deserialization,7,5,11,false,0,0
GT-058,FND-000159,bottlepy/bottle,bottle.py,1190,unsafe-deserialization,7,9,15,false,0,0
GT-059,FND-000206,ansible/ansible,lib/ansible/cli/scripts/ansible_connection_cli_stub.py,242,unsafe-deserialization,7,8,13,false,0,0
GT-060,FND-000556,celery/celery,t/unit/app/test_app.py,928,unsafe-deserialization,7,3,9,false,0,0
GT-061,FND-000485,coleifer/peewee,playhouse/fields.py,52,unsafe-deserialization,7,3,14,false,1,1
GT-062,FND-000170,cherrypy/cherrypy,cherrypy/lib/sessions.py,569,unsafe-deserialization,7,6,301,false,41,3
GT-063,FND-000425,pydantic/pydantic,pydantic/v1/parse.py,42,unsafe-deserialization,7,20,45,false,1,1
GT-064,FND-000416,pydantic/pydantic,.github/actions/people/people.py,761,subprocess-execution,7,11,11,true,0,0
GT-065,FND-000234,ansible/ansible,lib/ansible/modules/user.py,1297,subprocess-execution,7,19,112,false,1,1
GT-066,FND-001161,hypothesisworks/hypothesis,tooling/src/hypothesistooling/installers.py,117,subprocess-execution,4,2,8,false,0,0
GT-067,FND-000922,numpy/numpy,numpy/f2py/crackfortran.py,2648,code-execution-eval,7,302,378,false,5,3
GT-068,FND-000145,tornadoweb/tornado,maint/vm/windows/bootstrap.py,65,subprocess-execution,7,10,15,false,0,0
GT-069,FND-000296,certbot/certbot,certbot/src/certbot/_internal/plugins/nginx/configurator.py,1044,subprocess-execution,7,9,33,false,4,2
GT-070,FND-000469,sqlalchemy/sqlalchemy,lib/sqlalchemy/util/langhelpers.py,2157,code-execution-exec,7,4,9,false,0,0
GT-071,FND-000035,pallets/flask,src/flask/config.py,209,code-execution-exec,7,8,19,false,1,1
GT-072,FND-000411,pre-commit/pre-commit,pre_commit/commands/hook_impl.py,164,subprocess-execution,7,51,80,false,2,2
GT-073,FND-001172,dateutil/dateutil,src/dateutil/zoneinfo/rebuild.py,62,subprocess-execution,7,6,24,false,1,1
GT-074,FND-000874,scikit-learn/scikit-learn,sklearn/externals/array_api_compat/_internal.py,64,code-execution-exec,7,4,9,false,0,0
GT-075,FND-001016,scrapy/scrapy,scrapy/utils/engine.py,35,code-execution-eval,7,22,35,false,2,2
GT-076,FND-000387,tox-dev/tox,src/tox/tox_env/python/virtual_env/subprocess_adapter.py,220,subprocess-execution,7,7,12,false,0,0
GT-077,FND-000913,numpy/numpy,numpy/f2py/auxfuncs.py,662,code-execution-eval,7,6,53,false,5,3
GT-078,FND-000366,pytest-dev/pytest,scripts/release.py,82,subprocess-execution,7,5,27,false,2,2
GT-079,FND-000977,pypa/setuptools,setuptools/_distutils/compilers/C/cygwin.py,341,subprocess-execution,7,2,20,false,3,2
GT-080,FND-001222,simonw/datasette,datasette/publish/cloudrun.py,125,subprocess-shell-true,7,36,42,false,0,0
GT-081,FND-001043,twisted/twisted,src/twisted/conch/recvline.py,90,code-execution-exec,7,11,11,true,0,0
GT-082,FND-000966,pypa/virtualenv,tasks/make_zipapp.py,252,subprocess-execution,7,8,121,false,9,3
GT-083,FND-000019,tiangolo/fastapi,scripts/sponsors.py,200,subprocess-execution,7,3,8,false,0,0
GT-084,FND-000472,sqlalchemy/sqlalchemy,lib/sqlalchemy/util/typing.py,267,code-execution-eval,7,14,94,false,4,2
GT-085,FND-000518,mongodb/mongo-python-driver,pymongo/daemon.py,98,subprocess-execution,7,10,20,false,1,1
GT-086,FND-000321,certbot/certbot,tools/venv.py,101,subprocess-execution,7,8,22,false,2,2
